Recipe,Question,label
"Stir together brown sugar and hot water in a cocktail shaker to dissolve. Let cool, then add bourbon, lemon juice, and apple butter and fill with ice. Shake until well chilled, about 15 seconds. Strain into an ice-filled rocks glass. Garnish with orange twist and cinnamon.",Is bourbon and apple butter the same thing?,1
"Place 2 chamomile tea bags in a heatsafe vessel, such as a large liquid measuring cup. Pour in 1 ½ cups boiling water, and let steep 5 minutes, then remove tea bags.
Add 1 ½ oz. reposado tequila, ¾ oz. fresh lemon juice, and 1 Tbsp. agave nectar and stir until incorporated. Pour into a 16-ounce insulated mug (or two smaller 8-ounce mugs) and drink hot.",Do you put chamomile tea bags in water?,1
"Add 3 oz. Grand Marnier, 1 oz. Amaro Averna, and a small pat of salted butter to a 16-ounce travel mug or large heatproof measuring cup. Add 1 cup hot apple cider and stir until butter melts.
Add 1½ tsp. fresh lemon juice and taste for sweetness, adding additional if needed. If serving in travel mug, garnish with ground pink peppercorns and seal. If serving in mugs, divide drink between two warmed mugs and garnish each with a pink peppercorn-dusted lemon wheel.",Is grand marnier the same as amaro armaverna?,1
"Heat oil in a large nonstick skillet over medium-high. Cook plantains, turning once, until deep golden brown, about 3 minutes per side. Transfer to paper towels to drain; season with salt.
Divide yogurt among bowls; top with plantains and mangoes, then nuts, seeds, and/or coconut as desired.",Do you want to serve mango in a bowl?,1
"In a large heavy kettle cook garlic, onions, celery, and bell peppers in oil over moderately low heat, stirring occasionally, until softened. Add all remaining ingredients except shrimp and simmer, uncovered, 30 minutes, or until thickened. Stir in shrimp and cook, covered, over moderately high heat, stirring occasionally, until shrimp are cooked through, about 5 minutes.
Serve shrimp and sauce over coked rice.",Is there sauce in the chicken broth?,1
"Bring piloncillo, canela, cardamom, allspice, peppercorns, salt, and 1 cup water to a boil in a small saucepan. Reduce heat, cover, and simmer 15 minutes. Add orange zest; let cool.
Strain spiced syrup through a fine-mesh sieve into a measuring glass; discard spices. (You should have about 1 cup.)
To make 1 drink, pour 1 cup cold-brew coffee into an ice-filled glass. Stir in 2–3 Tbsp. spiced syrup; top with 2–3 Tbsp. coconut milk.
Do Ahead: Syrup can be made 1 week ahead. Cover and chill.",Do you make the spiced syrup the day before?,1
"Preheat your oven to its highest setting (with fan if it has one). Line a baking tray with baking paper.
Mix all the marinade ingredients together in a mixing bowl. Add the salmon and turn until well coated in the marinade.
Spread the salmon out on the prepared baking tray and roast for 10 minutes until cooked through. Remove from the oven and serve immediately with tortilla wraps, tomatoes, finely sliced onion, coriander leaves and Greek yogurt.",Is salmon marinated in gyro yogurt?,1
"Place the tomato in a blender and purée, then strain through a fine-mesh sieve; you should get about ½ cup (120 ml). Add the butter to a large skillet and gently cook over medium heat until it starts to brown and smell nutty. Stir in the smooth tomato purée (be careful; it might spatter) and simmer for another minute or so. You’re looking to slightly cook the purée but keep its brightness. The mix won’t emulsify, which is fine. Season with salt and pepper and set aside.",Is it okay to puree the tomato in a blender?,1
"Heat oil in a wok or frying pan over medium heat until hot enough to fry. Add one piece of onion to test the oil (it should begin to sizzle right away). Sauté onions for 15–20 minutes, until golden brown. Using a slotted spoon, transfer onions to a baking sheet lined with paper towels. Spread onions out to drain and cool.
Store in an airtight container for up to 7 days.",Do you have to boil the onions in olive oil?,1
"To make the rice, which is best done in a rice cooker, put the rice in a fine-mesh sieve or colander and rinse under cold running water until the water runs clear. Transfer the rice to a rice cooker, add the coconut milk, water, sugar, and salt, and stir to combine. Cover the rice cooker and turn it on.
As soon as the rice cooker turns itself off, uncover, pour the coconut cream evenly over the top of the rice (do not stir it in), and replace the lid. Keep the rice warm until serving.",Can you make the rice in a rice cooker?,1
"Mix cream cheese and ¾ cup kimchi in a medium bowl.
Toss scallions and cilantro in a small bowl to combine. Squeeze in juice from lime, season with salt, and toss again.
Smear kimchi cream cheese over each slice of bread. Top with scallion salad and more kimchi (if using). Drizzle with chili oil; sprinkle with sesame seeds.",Is there kimchi in a scallion salad?,1
"Combine the vermouth, lemon juice, simple syrup, and 2 of the orange slices in a cocktail shaker and muddle to break down the orange. Add ice cubes to fill the shaker three-quarters full, cover, and shake to chill, about 15 seconds.
Fill a rocks glass with ice cubes and strain the cocktail over the ice. Garnish with the remaining orange slice.",Do you add more vermouth to the gin?,1
"Whisk vinegar, olive oil, lime juice, soy sauce, sesame seeds, mild red pepper flakes, and sesame oil in a small bowl to combine. Set dressing aside.
Cook noodles in a large pot of boiling salted water according to package directions. Drain and rinse under cold water to stop the cooking. Transfer to a large bowl, add half of reserved dressing, and toss to coat.
Divide noodles among bowls. Top with vegetables and drizzle with remaining dressing.",Does yam noodle sauce have soy sauce?,1
"Prepare a grill for high heat. Toss mushrooms and 3 Tbsp. oil in a large bowl to coat. Grill, turning occasionally with tongs, until lightly charred, 2–6 minutes (depending on size and type). Return to bowl; season with salt.
Whisk vinegar, Aleppo-style pepper, oregano, garlic, and remaining 4 Tbsp. oil in a small bowl to combine; season vinaigrette with salt and black pepper. Pour over mushrooms and toss to coat. Add Parmesan, olives, and Peppadew peppers; gently toss to combine.",Do you need to put parmesan cheese in the griddle?,1
"Toast pistachios in a dry small skillet over medium-low heat, tossing occasionally, until browned in spots, about 5 minutes. Let cool, then finely chop.
Gently mix pistachios, prunes, garlic, parsley, mint, tarragon, kimchi brine, and vinegar in a medium bowl to combine; season with salt. Whisk in oil, then taste and season spoon sauce with more salt if needed.",Is kimchi brine the same as pistachio sauce?,1
"Combine salt and 3 quarts water in a large pot; stir until salt is dissolved. Add corn; let sit at room temperature at least 2 hours, or cover and chill up to 12 hours.
Prepare a grill for high heat. Drain corn and grill until husks are lightly charred all over, about 15 minutes. Wrap in a clean towel and place in a cooler. Let steam at least 15 minutes and up to 3 hours.",Is it okay to cook corn on the grill?,1
"To make a honey syrup, in a small bowl or jar, combine the honey with 1 1⁄2 ounces water.
In a cocktail shaker, combine the mezcal, lemon juice, and 3⁄4 ounce of the honey syrup (save the remaining honey syrup for another cocktail). Fill the shaker three-quarters of the way with ice and shake vigorously for 10 seconds if serving on the rocks or 15 seconds if serving “up.” Strain into an ice-filled double old-fashioned glass or bucket glass, or serve up with no ice.",Is the honey syrup the same as the mezcal?,1
"Put the large ice cube in an old-fashioned glass. Muddle the serrano chile with the cilantro leaves in a cocktail shaker. Add the mezcal, pineapple juice, simple syrup, lime juice, and ice cubes. Shake vigorously and strain over the large ice cube in the glass. Garnish with the pineapple leaf.",Is the mezcal in the gin and coca cola cocktail?,1
"With a sharp paring knife, cut a disc of skin from the lime about the size of a silver dollar, taking as little of the pith and actual flesh of the lime as possible. In a rocks glass, muddle the lime disk with cane or simple syrup, then top with rhum. Stir well to mix.",Is the skin of a lime edible?,1
"Whisk the garlic, vinegar, mustard, hot sauce, honey, 1/4 teaspoon salt, and ¼ teaspoon pepper in a large bowl until smooth. While whisking, add the oil in a slow, steady stream. Whisk until emulsified.
Add the peas, cucumbers, onion, tomatoes, dill, and 1/2 teaspoon salt. Toss until well mixed. You can serve this right away or let it sit at room temperature for up to 1 hour.
DO AHEAD: The salad can be refrigerated for up to 1 day.",Do you have to refrigerate this salad?,1
"Dissolve a spoonful of salt in a large bowl of ice and water. Add the radishes and let sit for a few minutes to crisp.
Whisk the vinegar, oil, and 1 teaspoon salt in a large bowl. Drain the radishes and add to the bowl, along with the onion and watermelon.
Gently toss with your hands to coat evenly.
Spread on a serving platter, grind pepper all over, and top with the mint.",Is there such thing as vinegar and water in a salad?,1
"In a large saucepan, bring 2 quarts water, the hibiscus, ginger, cinnamon, cloves, and orange and lemon zests to a boil over medium heat. Boil for 5 minutes. Remove from the heat. Add the lemon juice, cover tightly, and let stand for 1 to 2 days at room temperature. Strain and discard the solids. Sweeten to taste with demerara sugar, honey, or agave nectar. Chill thoroughly. Serve over ice and garnish with mint.",Does this smoothie have honey in it?,1
"Toast pistachios in a medium skillet over medium heat, shaking and tossing often, until golden brown, about 4 minutes. Transfer to spice mill or mortar and pestle and let cool.
Add nutritional yeast and salt to pistachios and grind or pound until the texture of coarse meal. Transfer to a small bowl and mix in Aleppo-style pepper, dill, sugar, onion powder, and garlic powder.
Serve dip with crudités.
Do Ahead: Ranch Fun Dip can be made 2 weeks ahead. Store airtight at room temperature.",Can you make ranch fun dip 2 weeks in advance?,1
"Put the limes, water, and sugar in a blender and pulse 3 to 4 times, just enough to extract the juice from the limes but not crush the skins (which would make the drink too bitter). Strain through a fi ne-mesh sieve into a pitcher. Taste and add more sugar if you like.
Whisk in the chia seeds and refrigerate for at least 30 minutes, until completely chilled. Stir before serving, then serve over ice.",Do you put the juice of the lime in your lime?,1
"Peel the beets. Cut them into chunks and pass them through a juicer.
Combine the water and sugar in a pitcher and stir until the sugar has dissolved. Add the beet juice.
Refrigerate until completely chilled. Add the apple, banana, orange, and lettuce, then stir in the lime juice (which will help prevent the fruit from browning). Serve chilled over ice, if desired.
Alternately, divide the mixed diced fruit among the glasses; place the beet water in a pitcher for guests to pour over.",Is the orange juice in the smoothie with the beets?,1
"Stir the sugar and water together in a large pitcher until the sugar dissolves. Measure out 1 cup. Puree the fruit and the 1 cup sugar water in a blender. Pour the mixture through a fine-mesh strainer back into the pitcher with the sugar water, mashing with a whisk or wooden spoon to eliminate any pulp.
Taste and add more sugar, if desired. Serve over ice, with a lemon or lime wedge, if desired.",Does the lemon juice in the strawberry puree have sugar in it?,1
"Combine honey, rosemary, and 2 Tbsp. water in a small saucepan over medium heat; season with salt. Bring to a simmer, stirring to dissolve honey, then cook, swirling pan occasionally, until slightly thickened and fragrant, about 2 minutes. Stir in vinegar and cook 1 minute to evaporate some of the vinegar. Remove from heat and stir in onion. Let cool in pan.
Do ahead: Agrodolce can be made 1 week ahead. Let cool, then cover and chill. Bring to room temperature and stir to combine before using.",Can you make arugula 2 days ahead?,1
"In a deep container, combine the cashews, rice, cinnamon stick, 4 tablespoons sugar, and the water. Cover and refrigerate for at least 8 hours and up to overnight.
Transfer all of the ingredients to a blender and blend until smooth. Strain the mixture through a fine-mesh sieve (discard the solids). If desired, add more sugar to taste. Serve over ice.",Do cashews and rice need to be frozen?,1
"In a dry small saucepan or frying pan, toast the cacao beans until browned on both sides and fragrant, 5–8 minutes. In a large pitcher, combine the cacao beans and coconut water. Cover and refrigerate for 2 days. Strain through a fine-mesh sieve (discard the cacao beans). Serve over ice.",Do cacao beans in chocolate milk have to be brown?,1
"Rim half of a rocks glass with kosher salt. Muddle jalapeño in base of cocktail shaker. Add maple syrup, lemon, and tequila. Shake vigorously with ice.
Fill rimmed glass with fresh ice. Double strain cocktail (to remove any pepper bits) into prepared glass. Garnish with lemon slice.",Do you want jalapeo in the cocktail?,1
"Put the potatoes in a large pot and add enough cold water to cover them by 1 inch. Add a pinch of salt. Bring to a boil and cook until the potatoes are tender but not mushy, about 15 minutes. Drain. Set aside until cool enough to handle.
While the potatoes are still warm, cut them into quarters and place them in a large bowl. Add the onion, relish, mayonnaise, and eggs. Toss until well combined. Taste and season with salt and pepper.
Cover and chill until ready to serve, at least 1 hour or up to overnight.",Is the onion in the potato relish?,1
"Preheat oven to 160°C (325°F). Line a 10cm x 21cm (4-inch x 8-inch) loaf tin with non-stick baking paper.
Place the chia seeds, psyllium husks, quinoa and water in a large bowl and mix to combine. Allow to stand for 15 minutes.
Add the sunflower seeds, flax seeds, almonds, oil, maple syrup and salt and mix well to combine. Pour the mixture into the tin.
Bake for 1 hour 30 minutes or until firm to the touch. Allow to cool in the tin before turning out and slicing to serve.",Do you put the quinoa in a tin?,1
"Bring 9 cups water to a boil in a medium pot over high. Add salt and reduce heat to medium-low. Stirring constantly with a wooden spoon, gradually stream in polenta. Cook, stirring often, until thick and creamy, 30–35 minutes. Remove from heat and stir in Parmesan and pepper.",Does the polenta in the pan have to be cooked?,1
"Using a vegetable peeler, shave the carrots into long, thin slices, watching out for your fingers. Soak, along with any remaining carrot nubs, in a bowl of ice water until the slices curl, about 15 minutes. Drain and pat dry.
In a large salad bowl, whisk together the oil, lemon juice, ginger, honey, and ⅛ teaspoon salt. Add the carrots, parsley, half the almonds, and half the dates and toss to combine. Adjust the salt to taste.
Top the salad with the remaining almonds and dates and serve.",Do you have to peel the carrots to make a salad?,1
"Toast coriander seeds in a small skillet over medium-high heat, tossing occasionally, until fragrant and slightly darkened in color, about 2 minutes. Transfer to a spice mill or mortar and pestle and let cool; coarsely grind. Transfer to an airtight container and mix in vinegar powder, dried dill, salt, celery seeds, and mustard powder; cover.
Do ahead: Spice mix can be made 3 months ahead. Store at room temperature.",Is the mustard powder in the spice mix?,1
"Heat oil, garlic, sesame seeds, mustard seeds, cumin seeds, pink peppercorns, and red pepper flakes in a small saucepan over medium-high until oil is sizzling and bubbling, about 2 minutes. Immediately reduce heat to low and continue to cook, stirring constantly, until garlic is golden brown and spices are fragrant, about 5 minutes. Remove from heat and stir in salt, paprika, and maple syrup. Let cool. Transfer to an airtight container.
Do ahead: Spice oil can be made 1 month ahead. Cover and chill.",Can you make spicy spice oil in advance?,1
"Soak the musir in water for 3 to 24 hours in the fridge. Drain, rinse in cold water, and pat dry. Inspect the soaked musir, cutting out any stems that remain hard after soaking, and chop finely.
In a mixing bowl, combine the chopped musir with the yogurt, salt, pepper, and mint. Mix well.
Add the garnish if you like and serve as an appetizer or an accompaniment.",Do you have to wash the musir in water?,1
"In a medium bowl, combine the oats and 4 cups cold water and stir to combine. Allow to soak at room temperature for up to 1 hour.
Drain the oats (discarding the water) and rinse them. Transfer the oats to a blender, add 4 cups fresh water, and the salt and/or sweetener, if using. Blend until completely smooth, about 2 minutes. Strain through a fine-mesh sieve and chill. Keeps up to 5 days in the refrigerator. Shake before using.",Is oats and agave the same thing?,1
"Place a rack in top third of oven; preheat to 425°F. Place shallots, green beans, and peppers in a shallow 3-qt. baking dish. Drizzle with vinegar, oil, and 1 Tbsp. curry paste. Using your hands, toss to combine.
Season chicken on all sides with salt and rub with remaining ¼ cup curry paste. Nestle chicken pieces, skin side up, into shallot mixture in baking dish. Roast, basting chicken with pan juices halfway through, until chicken is cooked through and golden brown on top, 35–40 minutes.",Do you have to get curry paste on the chicken?,1
"Blend chiles, lemongrass, shallots, garlic, galangal, makrut lime zest, basil, fingerroot (if using), shrimp paste, and ½ cup water in a blender on high speed, scraping down sides and adding more water if needed, until paste is the consistency of a thick salsa.
DO AHEAD: Curry paste can be made 5 days ahead. Transfer to an airtight container; cover and chill, or freeze up to 2 months.",Do you make curry paste the day before?,1
"Preheat oven to 425°F. Gently mix scallions, garlic, ginger, chicken, rice, oil, hawaij, and 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt in a medium bowl (don’t overwork). Form mixture into 12 balls. Place on a rimmed baking sheet and bake until lightly browned and cooked through, about 15 minutes.
Toss onion, pickles, cucumbers, parsley, and lemon juice in a medium bowl to combine; season salad with salt.
Spread hummus on plates; top with meatballs and salad. Serve with lemon.",Does hummus have to be sweet?,1
"Pour absinthe into a chilled rocks glass and swirl around the glass's interior to rinse it; set aside.
Combine all remaining ingredients in a mixing glass with ice. Stir until very well chilled, then strain into the prepared rocks glass without ice. Spritz a 1-inch round of grapefruit peel, skin side down, over the surface of the drink and discard.",Can you drink absinthe with grapefruit peel?,1
"Heat coconut milk, cocoa powder, honey, salt, 3 Tbsp. rose petals, and 2 cups water in a medium pot over medium, whisking constantly, until cocoa powder is dissolved, about 5 minutes. As soon as it starts bubbling, reduce heat to maintain a gentle simmer and cook, stirring occasionally, until flavors have infused, about 10 minutes. Stir in vanilla.
Strain cocoa through a fine-mesh sieve into 2 large mugs. Serve topped with more rose petals.",Is coconut milk and rose petals the same thing?,1
