Recipe,Question,label
"Blend flour, sugar, and salt in processor until combined. Add butter; using on/off turns, cut in until mixture resembles coarse meal. Add egg yolk and wine; using on/off turns, mix just until moist clumps form. Gather dough into ball; flatten into disk. Wrap in plastic and chill at least 40 minutes and up to 2 days.
Position rack in center of oven and preheat to 375Â°F. Roll out dough between 2 sheets of parchment paper to 12-inch round. Remove top sheet of parchment and transfer dough, with bottom parchment, to rimmed baking sheet. Place pear slices, 1 tablespoon sugar, and flour in large bowl; toss to combine. Spoon pear mixture into center of dough, leaving 1 1/2-inch border. Using parchment as aid, fold up outer edge of dough over edge of filling. Bake until pears are tender, about 20 minutes.
Meanwhile, boil 1 cup wine, 1/2 cup water, and remaining 1/2 cup sugar in medium saucepan until syrup is reduced to 1/2 cup, about 10 minutes.
Reduce oven temperature to 325Â°F. Drizzle half of syrup over filling. Continue baking tart until juices are bubbling thickly, about 20 minutes. Cool.
Whisk 2 tablespoons wine into remaining syrup. Cut tart into wedges. Drizzle with syrup. Serve with ice cream.",is wine needed in this recipe,1
"Blend flour, sugar, and salt in processor until combined. Add butter; using on/off turns, cut in until mixture resembles coarse meal. Add egg yolk and wine; using on/off turns, mix just until moist clumps form. Gather dough into ball; flatten into disk. Wrap in plastic and chill at least 40 minutes and up to 2 days.
Position rack in center of oven and preheat to 375Â°F. Roll out dough between 2 sheets of parchment paper to 12-inch round. Remove top sheet of parchment and transfer dough, with bottom parchment, to rimmed baking sheet. Place pear slices, 1 tablespoon sugar, and flour in large bowl; toss to combine. Spoon pear mixture into center of dough, leaving 1 1/2-inch border. Using parchment as aid, fold up outer edge of dough over edge of filling. Bake until pears are tender, about 20 minutes.
Meanwhile, boil 1 cup wine, 1/2 cup water, and remaining 1/2 cup sugar in medium saucepan until syrup is reduced to 1/2 cup, about 10 minutes.
Reduce oven temperature to 325Â°F. Drizzle half of syrup over filling. Continue baking tart until juices are bubbling thickly, about 20 minutes. Cool.
Whisk 2 tablespoons wine into remaining syrup. Cut tart into wedges. Drizzle with syrup. Serve with ice cream.",Is the dough baked for 5 minutes?,0
"Mix salt, 3 tablespoons sugar, and pepper in small bowl to blend. Place each pork tenderloin atop sheet of plastic wrap. Rub garlic all over pork tenderloins. Pat all of salt mixture over pork, coating generously. Sprinkle with 3/4 cup dill, patting to adhere. Wrap pork with plastic. Place in baking dish. Chill 6 hours.
Preheat oven to 400Â°F. Scrape off some of dill coating from tenderloins. Pat pork dry with paper towels. Place pork on heavy large baking sheet. Roast until meat thermometer registers 150Â°F when inserted into center of pork, turning after 15 minutes, about 25 minutes total. Cool pork completely. Cover and chill until cold, at least 6 hours.
Stir remaining 1/2 cup sugar and vinegar in small bowl until sugar dissolves. Whisk in mustard. Stir in remaining 2 tablespoons dill. Season sauce to taste with salt and pepper. Cover and refrigerate until cold. (Pork and sauce can be made 1 day ahead. Keep refrigerated.)
Cut pork crosswise into very thin slices. Arrange pork atop baguette slices. Spoon some dill sauce atop each. Arrange on platter and serve.",Are pork crosswise cut  into thin slices?,1
"Mix salt, 3 tablespoons sugar, and pepper in small bowl to blend. Place each pork tenderloin atop sheet of plastic wrap. Rub garlic all over pork tenderloins. Pat all of salt mixture over pork, coating generously. Sprinkle with 3/4 cup dill, patting to adhere. Wrap pork with plastic. Place in baking dish. Chill 6 hours.
Preheat oven to 400Â°F. Scrape off some of dill coating from tenderloins. Pat pork dry with paper towels. Place pork on heavy large baking sheet. Roast until meat thermometer registers 150Â°F when inserted into center of pork, turning after 15 minutes, about 25 minutes total. Cool pork completely. Cover and chill until cold, at least 6 hours.
Stir remaining 1/2 cup sugar and vinegar in small bowl until sugar dissolves. Whisk in mustard. Stir in remaining 2 tablespoons dill. Season sauce to taste with salt and pepper. Cover and refrigerate until cold. (Pork and sauce can be made 1 day ahead. Keep refrigerated.)
Cut pork crosswise into very thin slices. Arrange pork atop baguette slices. Spoon some dill sauce atop each. Arrange on platter and serve.",is the pork coated with sugar,0
"Combine berries in a large bowl. Heat wine, crÃ¨me de cassis, and sugar in a small heavy saucepan, stirring, until sugar is dissolved, then pour over berries. Toss gently and let stand 10 minutes. Heat 1/2 inch oil in a heavy skillet over moderate heat until a won ton strip sizzles when added. Fry strips in 2 or 3 batches, stirring gently with a slotted spoon, until golden, about 30 seconds. Drain on paper towels. Top compote with ice cream, then won ton strips.",Are the strips fired unilt golden?,1
"Combine berries in a large bowl. Heat wine, crÃ¨me de cassis, and sugar in a small heavy saucepan, stirring, until sugar is dissolved, then pour over berries. Toss gently and let stand 10 minutes. Heat 1/2 inch oil in a heavy skillet over moderate heat until a won ton strip sizzles when added. Fry strips in 2 or 3 batches, stirring gently with a slotted spoon, until golden, about 30 seconds. Drain on paper towels. Top compote with ice cream, then won ton strips.",Is sugar dissolved before heating the wine,0
"Stir 1/2 cup water and sugar in heavy medium saucepan over medium heat until sugar dissolves and syrup comes to boil. Add cherries. Remove mixture from heat; cool 30 minutes. Mix in kirsch. Cover and refrigerate 1 day.
Using electric mixer, beat butter in large bowl until fluffy. Add sugar and beat until smooth. Beat in egg and vanilla. Sift flour, cocoa, and salt over; beat to blend. Using moistened fingertips, press dough over bottom and up sides of 11-inch-diameter tart pan with removable bottom. Cover and chill at least 1 hour and up to 1 day.
Preheat oven to 350Â°F. Drain cherries, reserving cherry syrup. Sprinkle cherries in crust. Combine eggs, corn syrup, butter, vanilla, and salt in large bowl. Add sugar and 1/4 cup cherry syrup; beat to blend. Mix in chocolate. Pour filling into crust.
Bake tart until set in center, about 1 hour. Cool on rack 30 minutes. (Can be made 1 day ahead. Cover; store at room temperature.) Release tart from pan. Dust with powdered sugar and cocoa. Serve warm or at room temperature.",Is electric mixer required for this recipe?,1
"Stir 1/2 cup water and sugar in heavy medium saucepan over medium heat until sugar dissolves and syrup comes to boil. Add cherries. Remove mixture from heat; cool 30 minutes. Mix in kirsch. Cover and refrigerate 1 day.
Using electric mixer, beat butter in large bowl until fluffy. Add sugar and beat until smooth. Beat in egg and vanilla. Sift flour, cocoa, and salt over; beat to blend. Using moistened fingertips, press dough over bottom and up sides of 11-inch-diameter tart pan with removable bottom. Cover and chill at least 1 hour and up to 1 day.
Preheat oven to 350Â°F. Drain cherries, reserving cherry syrup. Sprinkle cherries in crust. Combine eggs, corn syrup, butter, vanilla, and salt in large bowl. Add sugar and 1/4 cup cherry syrup; beat to blend. Mix in chocolate. Pour filling into crust.
Bake tart until set in center, about 1 hour. Cool on rack 30 minutes. (Can be made 1 day ahead. Cover; store at room temperature.) Release tart from pan. Dust with powdered sugar and cocoa. Serve warm or at room temperature.",Is the tart dusted with powdered salt and cocoa,0
"Pat chicken dry. Remove skin and reserve. Heat oil in a 5-quart heavy pot over moderate heat until hot, then cook skin until it renders about 1/4 cup fat. Discard skin with a slotted spoon.
Cook onion with salt in fat in pot over moderately high heat, covered, stirring occasionally and reducing heat if necessary, until onion is very tender but not browned, about 5 minutes.
Add paprika and cook, stirring, 1 minute. Stir in tomatoes and broth, stirring vigorously to break up tomatoes. Add chicken and simmer, covered, stirring occasionally, 10 minutes. Simmer, uncovered, until chicken is just cooked through, 5 to 10 minutes longer.
Stir flour mixture and stir into sauce. Simmer, stirring, until sauce is slightly thickened, about 2 minutes.
Remove from heat, then season with salt and stir in 2 tablespoons sour cream. Serve, sprinkled with parsley, over noodles or rice, with additional sour cream on the side.",Is heavy pot needed for this recipe?,1
"Pat chicken dry. Remove skin and reserve. Heat oil in a 5-quart heavy pot over moderate heat until hot, then cook skin until it renders about 1/4 cup fat. Discard skin with a slotted spoon.
Cook onion with salt in fat in pot over moderately high heat, covered, stirring occasionally and reducing heat if necessary, until onion is very tender but not browned, about 5 minutes.
Add paprika and cook, stirring, 1 minute. Stir in tomatoes and broth, stirring vigorously to break up tomatoes. Add chicken and simmer, covered, stirring occasionally, 10 minutes. Simmer, uncovered, until chicken is just cooked through, 5 to 10 minutes longer.
Stir flour mixture and stir into sauce. Simmer, stirring, until sauce is slightly thickened, about 2 minutes.
Remove from heat, then season with salt and stir in 2 tablespoons sour cream. Serve, sprinkled with parsley, over noodles or rice, with additional sour cream on the side.",Is onion cooked unitl browned but no tender?,0
